slug,name,has_test_data,has_faq,needs_update
meticulous,Meticulous,False,False,True
jasper-chat,Jasper Chat,False,False,True
hippocratic-ai,Hippocratic AI,False,False,True
ironclad-ai,Ironclad AI,False,False,True
bloop,Bloop,False,False,True
octarine,Octarine,False,False,True
iconscout-ai,IconScout AI,False,False,True
stockimg-ai,StockImg AI,False,False,True
galileo-ai,Galileo AI,False,False,True
baichuan-2,Baichuan 2,False,False,True
autify,Autify,False,False,True
shulex,Shulex,False,True,True
glass-health,Glass Health,False,False,True
mindra,Mindra,False,False,True
shadow-ai,Shadow AI,False,False,True
panda-probe,PandaProbe,False,False,True
kanwas,Kanwas,False,False,True
flowmarket,FlowMarket,False,True,True
postiz,Postiz,False,False,True
huddle01-vms,Huddle01 VMs,False,False,True
symphony-agent,Symphony Agent,False,False,True
sierra-ghostwriter,Sierra Ghostwriter,False,False,True
cloud-computer-manus,Cloud Computer Manus,False,False,True
kilo-code,Kilo Code,False,False,True
warp-terminal,Warp Terminal,False,False,True
apache-superset,Superset,False,False,True
zed-editor,Zed Editor,False,False,True
tabstack,Tabstack,False,False,True
codex-cli,Codex CLI,False,False,True
wonder-ai,Wonder AI,False,False,True
open-design,open-design,False,False,True
mintlify-editor,Mintlify Editor,False,False,True
hera-launch,Hera Launch,False,False,True
velo-ai,Velo AI,False,False,True
video-os,VideoOS,False,False,True
pixelle-video,Pixelle-Video,False,False,True
luma-dream-machine,Luma Dream Machine,False,False,True
agent-browser,Agent Browser,False,False,True
browser-use,Browser Use,False,False,True
deepsec,DeepSec,False,False,True
xint-code,Xint Code,False,False,True
trading-agents,TradingAgents,False,False,True
mike-ai,mike AI,False,False,True
rankspot,RankSpot,False,False,True
schole-ai,Schole AI,False,False,True
jamie-ai,Jamie AI,False,False,True
alexa-plus,Alexa Plus,False,False,True
wenxin-kuaima,文心快码,False,False,True
tongyi-lingma,通义灵码,False,False,True
codebuddy-tengxun,CodeBuddy腾讯,False,False,True
anijam,Anijam,False,False,True
yoroll,Yoroll,False,False,True
qingying-ai,清影AI,False,False,True
hailuo-ai,海螺AI,False,False,True
vidu-ai,Vidu AI,False,False,True
duiyou-ai,堆友AI,False,False,True
meitu-design-ai,美图设计室AI,False,False,True
zhu-zhan-ai,触站AI,False,False,True
baidu-qianfan-agent,百度千帆Agent,False,True,True
unitree-gd01,Unitree GD01,False,False,True
agibot-zhiyuan,AGIBOT智元,False,False,True
anyscenegen,AnySceneGen,False,False,True
dexbotic,Dexbotic,False,False,True
tongyi-efficiency,通义效率,False,False,True
feishu-smart-partner,飞书智能伙伴,False,True,True
wensi-ai,文思AI,False,False,True
huoshan-writing,火山写作,False,False,True
bi-ling-ai,笔灵AI,False,False,True
moyin-gongfang,魔音工坊,False,False,True
xunfei-zhizuo,讯飞智作,False,False,True
openclaw,OpenClaw,False,False,True
crew-ai,CrewAI,False,False,True
ag2,AG2,False,False,True
langgraph,LangGraph,False,False,True
metagpt,MetaGPT,False,False,True
strands-agents,Strands Agents,False,False,True
openai-agents-sdk,OpenAI Agents SDK,False,False,True
flowise,Flowise,False,False,True
langflow,Langflow,False,False,True
qwen-agent,Qwen-Agent,False,False,True
modelscope-agent,Modelscope-Agent,False,False,True
pear-ai,PearAI,False,False,True
melty-ai,Melty,False,False,True
augment-code,Augment Code,False,False,True
qoder,Qoder,False,False,True
cline,Cline,False,False,True
qwen3-coder-next,Qwen3-Coder-Next,False,False,True
opencode,OpenCode,False,False,True
kling-3-0,Kling 3.0,False,False,True
moonvalley,Moonvalley,False,False,True
vidu-2-0,Vidu 2.0,False,False,True
hedra,Hedra,False,False,True
pollinations,Pollinations,False,False,True
musicfx,MusicFX,False,False,True
riffusion,Riffusion,False,False,True
cosy-voice,CosyVoice,False,False,True
chat-tts,ChatTTS,False,False,True
spark-tts,Spark-TTS,False,False,True
gpt-sovits,GPT-SoVITS,False,False,True
f5-tts,F5-TTS,False,False,True
ragflow,RAGFlow,False,False,True
milvus,Milvus,False,False,True
qdrant,Qdrant,False,False,True
anythingllm,AnythingLLM,False,False,True
lightrag,LightRAG,False,False,True
graphrag,GraphRAG,False,False,True
haystack,Haystack,False,False,True
unstructured,Unstructured,False,False,True
verba,Verba,False,False,True
base44,Base44,False,False,True
uizard,Uizard,False,False,True
visily,Visily,False,False,True
khroma,Khroma,False,False,True
flair-ai,Flair AI,False,False,True
wix-ai,Wix AI,False,True,True
designs-ai,Designs.ai,False,False,True
pixso-ai,Pixso AI,False,False,True
chuchu-ai,触手AI,False,False,True
6pen-art,6pen Art,False,False,True
wujie-ai,无界AI,False,False,True
chuangketie-ai,创客贴AI,False,False,True
tuguaishou,图怪兽,False,False,True
