slug,title,category,date,content_length,h2_count,issues,issue_count
anthropic-claude-agent-skills-repository,Anthropic开源Claude Agent技能仓库完全解析：推动AI技能标准化，138k Sta,行业动态,2026-05-20,7200,10,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
superpowers-ai-coding-agent-framework-gu,Superpowers开源框架完全解析：专为AI编码代理打造的下一代软件开发范式（2026年5月最新,AI开发工具,2026-05-19,7569,9,缺专家引言; 缺FAQ; 缺数据来源,3
openai-daybreak-ai-security-analysis-202,OpenAI Daybreak全面解读：GPT-5.5-Cyber安全模型与Codex Agent实,AI工具评测,2026-05-13,6093,7,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,4
chrome-devtools-mcp-tutorial-2026,Chrome DevTools MCP完全使用教程：让AI Agent直接控制浏览器，从安装到实战（,AI工具教程,2026-05-12,8383,11,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,4
ai-news-weekly-may11-2026,Anthropic一口气给华尔街做了10个AI Agent、Gemini 2.5 Pro登顶编程榜、,AI行业动态,2026-05-11,7762,0,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; H2偏少(0),6
ai-news-weekly-may10-2026,Chrome偷偷往你电脑装了4GB的AI模型：本周AI圈5件大事，每一件都在改变游戏规则,行业趋势,2026-05-10,7239,0,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; H2偏少(0),5
ai-code-review-tools-test-2026,2026年8款AI代码审查工具硬核实测：我把30个Bug埋进代码，看谁先把它们全挖出来,AI编程,2026-05-08,6384,7,缺专家引言,1
coze-2-0-complete-tutorial-guide,Coze扣子2.0完整使用教程：我用3天搭了5个AI智能体，从注册到上线的全部踩坑记录,AI工具教程,2026-05-07,7831,18,缺专家引言,1
ai-email-assistant-guide-2026,2026年AI邮件助手选型指南：10款工具真实成本核算+6大场景推荐（含国内可用性）,AI效率工具,2026-05-06,8889,0,缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),4
obsidian-vs-notion-vs-logseq-2026,Obsidian vs Notion vs Logseq：2026年AI笔记工具终极对比，我用半年换,AI办公,2026-05-01,5113,8,✅ 合格,0
ai-tools-new-releases-april-2026,2026年4月新发布的10款AI工具全解析：我逐一测了，告诉你哪些值得用,AI对话,2026-04-28,6558,10,缺专家引言,1
canva-ai-complete-guide-2026,Canva AI完全使用指南：从Magic Studio到AI 2.0，我总结了10个每天都会用的A,AI设计,2026-04-25,6656,8,缺专家引言,1
ai-coding-tool-selection-guide-2026,2026年AI编程工具选择指南：从免费到/月，5款工具真实花费和适用场景全解析,AI编程,2026-04-21,3540,9,✅ 合格,0
local-ai-model-deployment-guide-2026,2026年本地部署AI大模型完整指南：从4GB笔记本到8卡服务器怎么选,AI对话,2026-04-13,9328,0,缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),4
ai-ppt-tools-same-outline-test-2026,同一份大纲，6款AI PPT工具生成结果横评：Gamma设计碾压、WPS中文无敌、Tome已凉,AI工具评测,05/09,6108,7,缺专家引言,1
ai-terminal-coding-tools-comparison-2026,2026年5款AI编程终端工具硬核实测：Claude Code碾压全场，但Aider才是最被低估的,AI编程,05/05,6900,9,缺专家引言,1
ai-tts-voice-tools-real-test-2026,AI配音工具实测：我用5款工具各合成了5万字中文音频，成本差距大到离谱,AI工具评测,05/04/2026,6147,10,缺专家引言,1
how-to-use-replit-agent-guide-2026,国内如何使用Replit Agent：从注册到部署上线完整教程（2026年5月更新）,AI编程,05/03/2026,5573,11,缺专家引言; 缺数据来源,2
ai-audio-tools-guide-2026,2026年AI音频工具选型指南：13款工具真实成本核算+7大场景推荐（含国内可用性）,AI音频,05/02,8273,13,缺专家引言,1
ai-website-builder-test-2026,2026年AI建站工具实测：我用5款工具各搭了1个完整网站，真实花费、速度和质量全数据,AI编程,04/30,5877,6,缺专家引言,1
how-to-use-cursor-in-china-2026,国内如何用Cursor：从注册到上手的完整教程（2026年4月更新，含Cursor 3新功能）,AI编程,04/29,6067,13,缺专家引言; 缺数据来源,2
claude-opus-47-vs-gpt-54-2026,Claude Opus 4.7 vs GPT-5.4：2026年4月最新旗舰模型对决，编程选Clau,AI对话,04/27,3220,10,✅ 合格,0
kimi-k2-6-real-test-2026,Kimi K2.6发布6天实测：300个Agent并行、连续编码13小时，我拿5个真实项目跑了完整对,AI编程,04/26,7342,10,缺专家引言,1
ai-coding-tools-guide-2026,2026年AI编程工具完全指南：从$0到$100/月，30款工具真实花费和省钱方案,AI编程,04/24,7917,12,缺专家引言,1
gemini-25-pro-underrated-review-2026,Gemini 2.5 Pro被严重低估了：跟Claude 4和GPT-5掰手腕，它在这些场景悄悄赢了,AI对话,04/23,5824,11,缺专家引言,1
gpt-6-one-week-review-2026,GPT-6发布一周实测：200万上下文、幻觉率0.1%、性能暴涨40%，但它没有赢,AI对话,04/22,5852,10,缺专家引言,1
sora-shutdown-5-video-tools-test-2026,Sora停服倒计时！5款AI视频工具实测对比：我花2000块生成300个视频，告诉你谁最值得用,AI视频,04/20,6276,8,缺专家引言,1
cursor-project-workflow-guide-2026,Cursor项目级AI编程实战指南：从单文件到10万行工程，我用半年总结的8条黄金规则,AI编程,04/19,7149,12,缺专家引言,1
ai-agent-tools-guide-2026,2026年AI Agent工具全景图：36款真正能帮你干活的工具，我测试了87个只留了这些,AI对话,04/18,7171,7,缺专家引言,1
perplexity-vs-metaso-vs-kimi-search-2026,Perplexity vs 秘塔AI vs Kimi搜索：2026年AI搜索三强实测，用了3个月我只,AI搜索,04/17,3114,9,✅ 合格,0
ai-model-arena-ranking-april-2026,2026年4月AI大模型实测：15款主流模型Elo排名+API价格+性价比全数据对比,AI对话,04/16,7015,11,缺专家引言,1
notebooklm-complete-guide-2026,Google NotebookLM完全使用指南：从上传文档到AI播客，一步步教你玩转（2026版）,AI办公,04/15,4847,11,缺专家引言,1
ai-prompt-engineering-guide-500-tests,AI提示词工程实战指南：我测试了500组提示词，这8个技巧让输出质量从60分飙到92分,AI效率,04/14,8641,0,缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),4
anthropic-overtakes-openai-claude-vs-cha,Anthropic收入反超OpenAI：从500亿到3000亿，Claude凭什么叫板ChatGPT,AI对话,04/12,10504,9,缺专家引言,1
ai-personal-knowledge-base-guide-2026,2026年个人AI知识库搭建指南：NotebookLM+Obsidian+Claude三合一工作流，,AI办公,04/11,12343,11,缺专家引言,1
ai-video-generator-guide-2026,2026年AI视频生成工具选型指南：8款工具真实成本核算+6大场景推荐（含国内可用性）,AI视频,04/10,11125,9,缺专家引言,1
ai-notion-0409,Notion AI vs 飞书AI vs 语雀AI：国产办公AI能不能替代Notion,AI写作,04/09,5265,7,缺专家引言; 缺最终结论,2
ai-layoffs-2026-self-rescue-guide,2026年Q1科技裁员8万人：近半数因AI，哪些岗位最危险？用AI工具自救的完整方案,AI对话,04/09,10319,9,缺专家引言,1
anthropic-3-5gw-tpu-claude-hack-freebsd-,Anthropic锁定3.5吉瓦算力+Claude AI 4小时攻破FreeBSD+Google免费,AI对话,04/08,9335,8,缺数据来源,1
gpt-6-spud-leak-openai-robot-tax-anti-di,GPT-6代号土豆曝光+OpenAI征机器人税+三巨头联手反蒸馏：4月7日AI圈三件事，OpenAI,AI对话,04/07,8871,9,缺专家引言,1
ai-image-generation-tools-test-2026,我用6款AI画图工具各画了100张图：Midjourney不是最贵的但最值得，可灵是免费天花板,AI绘画,04/06,9721,8,缺专家引言,1
ai-chat-model-scenario-guide-2026,2026年AI对话模型选购指南：别看排行榜，看场景——8大模型横评后我只推荐3个,AI对话,04/05,10419,8,缺专家引言,1
anthropic-openclaw-ban-deepseek-v4-merco,Anthropic封杀OpenClaw+DeepSeek V4灰度+Mercor训练数据泄露：4月4,AI对话,04/04,9130,8,缺专家引言,1
microsoft-mai-qwen3-6-gemma4-april3-2026,"微软MAI三件套+阿里Qwen3.6-Plus+谷歌Gemma 4：4月3日AI圈三连爆，微软""甩开",AI对话,04/03,7366,8,缺专家引言,1
ai-office-productivity-tools-2026,2026年AI办公效率工具推荐：从写周报到做PPT，8款工具让工作效率翻倍,AI办公,04/02,4512,12,缺BLUF; 缺专家引言; 缺最终结论,3
ai-translation-tools-2026-guide,AI翻译工具推荐2026：8款AI翻译软件实测，哪款翻译最准确,AI翻译,04/02,5133,8,缺BLUF; 缺专家引言; 缺数据来源; 缺最终结论,4
deepseek-complete-guide-2026,DeepSeek完全使用指南：从入门到进阶，一文掌握DeepSeek所有技巧,AI对话,04/02,4533,7,缺BLUF; 缺专家引言; 缺数据来源; 缺最终结论,4
ai-writing-tools-2026-guide,2026年AI写作工具推荐：10款免费好用的AI写作神器实测,AI写作,04/02,4505,11,缺BLUF; 缺专家引言; 缺数据来源; 缺最终结论,4
ai-video-tools-2026-guide,2026年AI视频生成工具推荐：从可灵到Seedance，7款工具实测对比,AI视频,04/02,5006,12,缺BLUF; 缺专家引言,2
ai-coding-tools-real-productivity-test-2,AI编程工具到底能省多少时间？我用5个真实项目跑了3个月，数据打脸了,AI编程,04/02,10039,12,缺专家引言,1
openai-122b-funding-gpt-5-4-veo-3-1-2026,OpenAI 1220亿美元融资+GPT-5.4 mini发布+Veo 3.1 Lite：AI行业迎,AI视频,04/01,6130,8,缺专家引言; 缺数据来源,2
claude-code-source-leak-2026,"51.2万行代码泄露！Claude Code源码事件完整复盘：Anthropic一周内第二次""低级失",AI对话,04/01,5786,10,缺专家引言; 缺数据来源,2
ai-free-tools-china-2026,2026年国内免费AI工具完整指南：覆盖写作、编程、画图、视频、音频，一个不花,AI对话,03/31,8755,7,缺专家引言,1
ai-coding-real-cost-traps-2026,Anthropic泄露3000份文件+Cline免费方案碾压付费工具+中国大模型调用量反超美国：AI,AI编程,03/30,8620,9,缺专家引言,1
ai-news-week-2026-03-29,Sora关停、LiteLLM被投毒、Arm造出136核AGI芯片、Claude操控你的电脑：AI圈本,AI视频,03/29,7906,9,缺专家引言; 缺数据来源,2
ai-agent-comparison-test-2026,2026年AI Agent深度实测：Manus vs OpenClaw vs MuleRun，哪个真,AI编程,03/28,8888,11,缺专家引言,1
ai-news-week-2026-03-27,Google TurboQuant让存储芯片暴跌6%+NeurIPS封杀华为商汤+Claude Co,AI对话,03/27,6643,8,缺专家引言; 缺数据来源,2
ai-api-price-benchmark-2026,2026年大模型API价格横评：我把$100扔进去，看谁先烧完,AI对话,03/26,10392,12,缺专家引言,1
ai-news-week-2026-03-25,MiniMax Token Plan发布+Seedance 2.0上线+AI新贵市值超百度：2026,AI视频,03/25,5241,8,缺专家引言; 缺数据来源,2
cursor-alternatives-2026-test,Cursor收费后，这7款AI编程工具谁值得用？（2026实测对比）,AI编程,03/24,6369,8,缺专家引言,1
ai-ppt-tools-2026,AI PPT生成工具推荐：2026年最受欢迎的AI做PPT神器对比,AI办公,03/23,4511,7,缺专家引言; 缺数据来源,2
ai-tools-2026,2026年最值得尝试的20个AI工具盘点,AI对话,03/22,2553,9,缺专家引言; 缺FAQ; 缺数据来源,3
chatgpt-vs-claude-vs-gemini,ChatGPT vs Claude vs Gemini：三大AI助手深度对比,AI对话,03/21,1338,5,缺专家引言; 缺FAQ; 缺数据来源; 字数偏少(1338),4
ai-painting-guide,AI绘画入门指南：从零开始学会AI绘画,AI绘画,03/20,1663,7,缺专家引言; 缺FAQ; 缺数据来源,3
cursor-vs-copilot-vs-windsurf,AI编程工具评测：Cursor vs GitHub Copilot vs Windsurf,AI编程,03/19,1666,6,缺专家引言; 缺FAQ; 缺数据来源,3
ai-self-media-guide,用AI工具做自媒体：从选题到发布的完整流程,AI写作,03/18,1521,8,缺专家引言; 缺FAQ; 缺数据来源,3
how-to-use-chatgpt-for-coding,如何用ChatGPT写代码：十年程序员的实战经验分享,AI编程,,1199,0,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; 字数偏少(1199); H2偏少(0),7
how-to-use-midjourney-2026,如何注册和使用Midjourney：从零开始的完整教程（2026版）,AI绘画,,1300,0,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; 字数偏少(1300); H2偏少(0),7
how-to-use-claude-in-china-2026,国内用户如何用Claude：注册、充值、实战技巧（2026完整攻略）,AI对话,,1165,0,缺专家引言; 缺FAQ; 缺最终结论; 字数偏少(1165); H2偏少(0),5
how-to-use-suno-music-creation-2026,如何用Suno创作自己的歌曲：零基础音乐创作入门（2026实测）,AI音频,,907,0,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; 字数偏少(907); H2偏少(0),7
cursor-vs-copilot-vs-windsurf-2026,Cursor vs GitHub Copilot vs Windsurf 2026：谁才是编程最佳A,AI编程,,1330,0,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; 字数偏少(1330); H2偏少(0),6
ai-company-profit-dilemma-2026,AI大公司“烧钱困境”：腾讯亏88亿、Anthropic估值9000亿利润承压——AI行业到底谁能赚,AI行业分析,2026-05-14,4178,9,缺专家引言; 缺FAQ; 缺最终结论,3
ai-code-security-audit-guide-2026,AI代码安全审计实战指南：从Linux内核2周发现3个漏洞说起，手把手教你用AI工具发现代码隐患,AI教程,2026-05-15,6583,8,缺专家引言; 缺FAQ; 缺最终结论,3
ai-industry-six-trends-2026,2026年AI行业六大趋势深度解读：岗位暴涨8.7倍、成本暴跌10倍、开源逼近闭源——AI正在重塑每,行业趋势,05/16,5283,8,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论,4
ai-commercialization-seven-data-may-2026,AI赚钱了：ChatGPT接入银行账户、阿里AI年收358亿、Anthropic估值3000亿——2,行业趋势,05/17,4912,8,缺专家引言; 缺FAQ,2
google-io-2026-three-giants-showdown,Google I/O 2026前夜三强争霸：Anthropic市值9000亿、GPT-5.5全面铺开,AI行业分析,05/18,5398,8,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,4
google-io-2026-full-recap,Google I/O 2026全景解读：Gemini 3.5 Flash速度碾压、Spark重塑个人,AI行业分析,05/22,5146,9,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
ai-industry-may-2026-openai-ipo-anthropi,2026年5月AI行业格局剧变：OpenAI递交IPO文件估值万亿、Anthropic首季盈利反超登,ai-news,2026-05-23,4685,8,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
kling-3-0-native-4k-202605,可灵AI Kling 3.0原生4K视频生成全面解析：行业首个3840×2160原生分辨率，从影视级,AI工具评测,2026-05-24,6258,6,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论,4
ai-enterprise-deployment-war-2026-may,OpenAI砸40亿美元成立DeployCo反击、Claude拿下四大110万顾问——2026年AI,industry-analysis,2026-05-28,5967,10,缺专家引言; 缺FAQ; 缺数据来源,3
skyclaw-v1-0-agent-model-kunlun-may-2026,昆仑万维天工AI SkyClaw-v1.0深度解析：百万上下文Agent模型闯入全球第一梯队，定价仅,industry-analysis,2026-05-29,6920,10,缺专家引言; 缺FAQ,2
trae-2-0-solo-agent-deep-review-202606,Trae 2.0深度评测：字节跳动AI IDE用户突破1200万，SOLO智能体架构10分钟生成完整,industry-analysis,2026-06-01,7746,10,缺FAQ,1
microsoft-build-2026-mai-thinking-1-seve,微软Build 2026全面解读：MAI-Thinking-1推理模型AIME 25达97%、7款自,行业动态,2026-06-03,5970,9,缺专家引言; 缺FAQ,2
trump-ai-executive-order-mythos-cybersec,特朗普签署AI行政令：Mythos模型引爆安全漏洞、30天政府审查窗口——美国AI监管从'完全放任',industry-analysis,2026-06-04,5840,8,缺FAQ; 缺数据来源,2
anthropic-recursive-self-improvement-cla,"Anthropic发布震撼报告：80%代码已由AI编写、工程师产出飙升8倍——AI开始""自己写自己""",industry-analysis,2026-06-05,5158,8,缺BLUF; 缺FAQ; 缺数据来源; 缺最终结论,4
openai-codex-six-industry-plugins-202606,OpenAI Codex六大行业插件全面解析：从编程助手到全职场AI操作系统，500万用户、62款应,industry-analysis,2026-06-06,4339,7,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论,4
qwen-37-max-vs-claude-opus-47-vs-gpt-55-,Qwen 3.7 Max vs Claude Opus 4.7 vs GPT-5.5：2026年6月,大模型,2026-06-07,5700,8,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
claude-opus-4-8-dynamic-workflows-agent-,Claude Opus 4.8深度解析：动态工作流11天迁移75万行代码、估值9650亿超越Open,industry-analysis,2026-06-08,5412,9,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论,5
claude-fable-5-mythos-class-public-relea,Claude Fable 5发布首日深度解析：SWE-Pro 80.3%封王、5000万行代码一天迁,AI模型评测,2026-06-10,8911,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
github-copilot-2026-upgrade-app-sdk-sand,GitHub Copilot 2026全面升级实测：Desktop App + SDK + Sand,industry-analysis,2026-06-11,11732,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
anthropic-ai-slowdown-call-recursive-sel,Anthropic自曝80%代码由AI编写后紧急喊停：估值9650亿的AI龙头为何呼吁全球暂停研发？,industry-analysis,2026-06-12,8744,0,缺BLUF; 缺FAQ; 缺数据来源; 缺最终结论; H2偏少(0),5
kimi-k2-7-code-open-source-1t-coding-mod,月之暗面Kimi K2.7 Code开源发布深度解析：1万亿参数编程模型、推理token暴降30%、,tool-review,2026-06-13,9862,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
glm-52-zcode-3-release-analysis-202606,智谱GLM-5.2+ZCode 3.0双发布深度解析：1M真正可用上下文、自研Agent内核、MIT,tool-review,2026-06-14,10712,0,缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),4
anthropic-export-control-fable5-mythos5-,Anthropic出口管制事件全景复盘：Fable 5发布72小时被强制召回，AI史上首次商业大模型,industry-news,2026-06-15,10625,0,缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; H2偏少(0),5
ai-data-analysis-tools-real-test-202606,2026年AI数据分析工具实测对比：我用同一份数据测了5款工具，免费的通义千问居然比ChatGPT还,tools-comparison,2026-06-17,14531,1,缺FAQ; 缺最终结论; H2偏少(1),3
ai-video-generation-open-source-vs-close,AI视频生成2026：开源大军围剿闭源巨头，深度使用一个月后我的结论可能让你意外,AI视频,2026-06-18,6316,0,缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),4
multi-agent-ai-tools-guide-2026,2026年AI Agent编排工具终极指南：别再让一个模型干所有活了，这12个平台让你的AI学会「团,AI智能体,2026-06-19,11927,0,缺BLUF; 缺专家引言; 缺FAQ; 缺数据来源; 缺最终结论; H2偏少(0),6
ai-open-weight-model-explosion-june-2026,2026年6月AI开源模型大爆发：25+模型一周齐发，从LLM到3D全覆盖——开源生态能否终结闭源霸,行业趋势,2026-06-21,6492,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
adobe-2026-creators-toolkit-report-ai-an,Adobe 2026创作者报告全解读：16000名创作者的AI真相——87%靠AI加速增长，但竞争从,行业趋势,2026-06-22,5670,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
jianying-ai-tutorial-2026,剪映AI功能完全使用教程2026：从智能剪辑到数字人播报，14个功能让你告别手动剪视频,AI工具教程,2026-06-23,5998,0,缺BLUF; 缺专家引言; 缺FAQ; 缺最终结论; H2偏少(0),5
